Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-455,350,3882.285496549655,0.7695884704589844
350-456,350,1788.06644542232,0.7576267719268799
350-457,350,2299.0289648964895,0.556673526763916
350-458,350,1900.892313231323,0.7563576698303223
350-459,350,3832.5639723972395,0.1870255470275879
350-460,350,3017.6466246624664,0.6301677227020264
350-461,350,2419.5219501950196,0.6880159378051758
350-462,350,1487.8,0.7083346843719482
350-463,350,2807.4902310231023,0.7758207321166992
350-464,350,2818.502790279028,0.7346181869506836
350-465,350,2591.0476838883887,0.7344603538513184
350-466,350,2467.3287428742874,0.7328107357025146
350-467,350,4216.40436673297,0.3421053886413574
350-468,350,2311.74801080108,0.7517354488372803
350-469,350,1524.9739917695472,0.7706680297851562
350-470,350,3276.0920492049204,0.7227990627288818
350-471,350,2670.782886288629,0.7331619262695312
350-472,350,2847.5751995199516,0.7563278675079346
350-473,350,3499.9983127572013,0.7173974514007568
350-474,350,4995.991358024691,0.7530486583709717
350-475,350,2441.2333453345336,0.7291498184204102
350-476,350,inf,0.8375368118286133
350-477,350,3158.628094809481,0.8121054172515869
350-478,350,inf,0.5891830921173096
350-479,350,3255.2867206720675,0.740929126739502
350-480,350,inf,0.5994212627410889
350-481,350,2309.8251648127775,0.53737473487854
